Areaname,STCOU,PST045202D
"Routt, CO",08107,20446
"Saguache, CO",08109,6442
"San Juan, CO",08111,568
"San Miguel, CO",08113,7156
"Sedgwick, CO",08115,2673
"Summit, CO",08117,24966
"Teller, CO",08119,21276
"Washington, CO",08121,4943
"Weld, CO",08123,203570
"Yuma, CO",08125,9694
CONNECTICUT,09000,3448382
"Fairfield, CT",09001,890635
"Hartford, CT",09003,864497
"Litchfield, CT",09005,185656
"Middlesex, CT",09007,159207
"New Haven, CT",09009,832376
"New London, CT",09011,263098
"Tolland, CT",09013,141963
"Windham, CT",09015,110950
DELAWARE,10000,804131
"Kent, DE",10001,131301
"New Castle, DE",10003,509113
"Sussex, DE",10005,163717
DISTRICT OF COLUMBIA,11000,579585
District of Columbia,11001,579585
FLORIDA,12000,16680309
"Alachua, FL",12001,223994
"Baker, FL",12003,23143
"Bay, FL",12005,152213
"Bradford, FL",12007,26343
"Brevard, FL",12009,494239
"Broward, FL",12011,1698735
"Calhoun, FL",12013,12745
"Charlotte, FL",12015,149473
"Citrus, FL",12017,123243
"Clay, FL",12019,150645
"Collier, FL",12021,275367
"Columbia, FL",12023,58333
"DeSoto, FL",12027,32662
"Dixie, FL",12029,13940
"Duval, FL",12031,802673
"Escambia, FL",12033,299746
"Flagler, FL",12035,57432
"Franklin, FL",12037,9934
"Gadsden, FL",12039,45182
"Gilchrist, FL",12041,14874
"Glades, FL",12043,10912
"Gulf, FL",12045,14880
"Hamilton, FL",12047,13698
"Hardee, FL",12049,27284
"Hendry, FL",12051,36248
"Hernando, FL",12053,137681
"Highlands, FL",12055,89822
"Hillsborough, FL",12057,1050928
"Holmes, FL",12059,18614
"Indian River, FL",12061,117807
"Jackson, FL",12063,46441
"Jefferson, FL",12065,13200
"Lafayette, FL",12067,7202
"Lake, FL",12069,234662
"Lee, FL",12071,474109
"Leon, FL",12073,243733
"Levy, FL",12075,35586
"Liberty, FL",12077,7141
"Madison, FL",12079,18621
"Manatee, FL",12081,279448
"Marion, FL",12083,271261
"Martin, FL",12085,131604
"Miami-Dade, FL",12086,2328122
"Monroe, FL",12087,78963
"Nassau, FL",12089,60458
"Okaloosa, FL",12091,175924
"Okeechobee, FL",12093,36822
"Orange, FL",12095,946806
"Osceola, FL",12097,194071
"Palm Beach, FL",12099,1185745
"Pasco, FL",12101,371409
"Pinellas, FL",12103,923557
"Polk, FL",12105,498428
"Putnam, FL",12107,71004
"St. Johns, FL",12109,135882
"St. Lucie, FL",12111,204349
"Santa Rosa, FL",12113,128077
"Sarasota, FL",12115,338940
"Seminole, FL",12117,381313
"Sumter, FL",12119,57482
"Suwannee, FL",12121,35942
"Taylor, FL",12123,19222
"Union, FL",12125,13472
"Volusia, FL",12127,458400
"Wakulla, FL",12129,24929
"Walton, FL",12131,44046
"Washington, FL",12133,21148
GEORGIA,13000,8585535
"Appling, GA",13001,17513
"Atkinson, GA",13003,7708
"Bacon, GA",13005,10008
"Baker, GA",13007,3954
"Baldwin, GA",13009,45061
"Banks, GA",13011,15136
"Barrow, GA",13013,50982
"Bartow, GA",13015,82246
"Ben Hill, GA",13017,17168
"Berrien, GA",13019,16243
"Bibb, GA",13021,153979
"Bleckley, GA",13023,11682
"Brantley, GA",13025,15055
"Brooks, GA",13027,16247
"Bryan, GA",13029,24862
"Bulloch, GA",13031,57683
"Burke, GA",13033,22674
"Butts, GA",13035,21232
"Calhoun, GA",13037,6261
"Camden, GA",13039,45609
"Candler, GA",13043,9761
"Carroll, GA",13045,94874
"Catoosa, GA",13047,56060
"Charlton, GA",13049,10494
"Chatham, GA",13051,235712
"Chattahoochee, GA",13053,19189
"Chattooga, GA",13055,25922
"Cherokee, GA",13057,159006
"Clarke, GA",13059,104241
"Clay, GA",13061,3298
"Clayton, GA",13063,252560
"Clinch, GA",13065,6906
"Cobb, GA",13067,637772
"Coffee, GA",13069,38526
"Colquitt, GA",13071,42706
"Columbia, GA",13073,94135
"Cook, GA",13075,15880
"Coweta, GA",13077,97424
"Crawford, GA",13079,12447
"Crisp, GA",13081,21993
"Dade, GA",13083,15592
"Dawson, GA",13085,17546
"Decatur, GA",13087,28079
"DeKalb, GA",13089,690039
"Dodge, GA",13091,19346
"Dooly, GA",13093,11570
"Dougherty, GA",13095,95783
"Douglas, GA",13097,98222
"Early, GA",13099,12185
"Echols, GA",13101,3823
"Effingham, GA",13103,41088
"Elbert, GA",13105,20656
"Emanuel, GA",13107,21710
"Evans, GA",13109,11061
"Fannin, GA",13111,20876
"Fayette, GA",13113,95988
"Floyd, GA",13115,92612
"Forsyth, GA",13117,116127
"Franklin, GA",13119,20861
"Fulton, GA",13121,862931
"Gilmer, GA",13123,25151
"Glascock, GA",13125,2556
"Glynn, GA",13127,69057
"Gordon, GA",13129,46568
"Grady, GA",13131,23745
"Greene, GA",13133,15017
"Gwinnett, GA",13135,644753
"Habersham, GA",13137,37555
"Hall, GA",13139,151775
"Hancock, GA",13141,9729
"Haralson, GA",13143,26752
"Harris, GA",13145,24969
"Hart, GA",13147,23124
"Heard, GA",13149,11190
"Henry, GA",13151,139800
"Houston, GA",13153,116390
"Irwin, GA",13155,9962
"Jackson, GA",13157,45467
"Jasper, GA",13159,12028
"Jeff Davis, GA",13161,12794
"Jefferson, GA",13163,16999
"Jenkins, GA",13165,8588
"Johnson, GA",13167,8921
"Jones, GA",13169,24679
"Lamar, GA",13171,16131
"Lanier, GA",13173,7155
"Laurens, GA",13175,45606
"Lee, GA",13177,27727
"Liberty, GA",13179,61570
"Lincoln, GA",13181,8353
"Long, GA",13183,10576
"Lowndes, GA",13185,94272
"Lumpkin, GA",13187,22640
"McDuffie, GA",13189,21167
"McIntosh, GA",13191,10919
"Macon, GA",13193,13978
"Madison, GA",13195,26586
"Marion, GA",13197,7075
"Meriwether, GA",13199,22864
"Miller, GA",13201,6350
"Mitchell, GA",13205,23764
"Monroe, GA",13207,22602
"Montgomery, GA",13209,8507
"Morgan, GA",13211,16373
"Murray, GA",13213,38362
"Muscogee, GA",13215,185894
"Newton, GA",13217,71239
"Oconee, GA",13219,27100
