Areaname,STCOU,PST045202D
"Harding, NM",35021,740
"Hidalgo, NM",35023,5281
"Lea, NM",35025,55422
"Lincoln, NM",35027,19621
"Los Alamos, NM",35028,18148
"Luna, NM",35029,25085
"McKinley, NM",35031,72921
"Mora, NM",35033,5186
"Otero, NM",35035,61540
"Quay, NM",35037,9684
"Rio Arriba, NM",35039,40902
"Roosevelt, NM",35041,18532
"Sandoval, NM",35043,95680
"San Juan, NM",35045,118277
"San Miguel, NM",35047,29482
"Santa Fe, NM",35049,134577
"Sierra, NM",35051,12896
"Socorro, NM",35053,17869
"Taos, NM",35055,30591
"Torrance, NM",35057,16544
"Union, NM",35059,3952
"Valencia, NM",35061,67720
NEW YORK,36000,19161873
"Albany, NY",36001,296644
"Allegany, NY",36003,50103
"Bronx, NY",36005,1348285
"Broome, NY",36007,199714
"Cattaraugus, NY",36009,83126
"Cayuga, NY",36011,81240
"Chautauqua, NY",36013,137989
"Chemung, NY",36015,90409
"Chenango, NY",36017,51166
"Clinton, NY",36019,80525
"Columbia, NY",36021,62847
"Cortland, NY",36023,48410
"Delaware, NY",36025,47099
"Dutchess, NY",36027,286769
"Erie, NY",36029,940645
"Essex, NY",36031,38717
"Franklin, NY",36033,50558
"Fulton, NY",36035,54874
"Genesee, NY",36037,59647
"Greene, NY",36039,48226
"Hamilton, NY",36041,5252
"Herkimer, NY",36043,63388
"Jefferson, NY",36045,113936
"Kings, NY",36047,2477380
"Lewis, NY",36049,26411
"Livingston, NY",36051,64194
"Madison, NY",36053,69491
"Monroe, NY",36055,738876
"Montgomery, NY",36057,49006
"Nassau, NY",36059,1349668
"New York, NY",36061,1567241
"Niagara, NY",36063,217723
"Oneida, NY",36065,233014
"Onondaga, NY",36067,457085
"Ontario, NY",36069,101539
"Orange, NY",36071,355221
"Orleans, NY",36073,43399
"Oswego, NY",36075,122278
"Otsego, NY",36077,61776
"Putnam, NY",36079,98187
"Queens, NY",36081,2239457
"Rensselaer, NY",36083,152206
"Richmond, NY",36085,460386
"Rockland, NY",36087,290035
"St. Lawrence, NY",36089,110686
"Saratoga, NY",36091,206672
"Schenectady, NY",36093,146612
"Schoharie, NY",36095,31618
"Schuyler, NY",36097,19268
"Seneca, NY",36099,34730
"Steuben, NY",36101,98996
"Suffolk, NY",36103,1468240
"Sullivan, NY",36105,74063
"Tioga, NY",36107,51576
"Tompkins, NY",36109,98393
"Ulster, NY",36111,179721
"Warren, NY",36113,63979
"Washington, NY",36115,61022
"Wayne, NY",36117,93112
"Westchester, NY",36119,941747
"Wyoming, NY",36121,42791
"Yates, NY",36123,24505
NORTH CAROLINA,37000,8316617
"Alamance, NC",37001,135314
"Alexander, NC",37003,34368
"Alleghany, NC",37005,10736
"Anson, NC",37007,25265
"Ashe, NC",37009,24747
"Avery, NC",37011,17808
"Beaufort, NC",37013,45026
"Bertie, NC",37015,19388
"Bladen, NC",37017,32235
"Brunswick, NC",37019,78520
"Buncombe, NC",37021,210717
"Burke, NC",37023,89031
"Cabarrus, NC",37025,139411
"Caldwell, NC",37027,78512
"Camden, NC",37029,7382
"Carteret, NC",37031,60121
"Caswell, NC",37033,23576
"Catawba, NC",37035,146272
"Chatham, NC",37037,54173
"Cherokee, NC",37039,24670
"Chowan, NC",37041,14241
"Clay, NC",37043,9220
"Cleveland, NC",37045,97435
"Columbus, NC",37047,54445
"Craven, NC",37049,92744
"Cumberland, NC",37051,306619
"Currituck, NC",37053,19466
"Dare, NC",37055,32034
"Davidson, NC",37057,150395
"Davie, NC",37059,36538
"Duplin, NC",37061,50342
"Durham, NC",37063,234451
"Edgecombe, NC",37065,54643
"Forsyth, NC",37067,316853
"Franklin, NC",37069,50623
"Gaston, NC",37071,192564
"Gates, NC",37073,10545
"Graham, NC",37075,8021
"Granville, NC",37077,51660
"Greene, NC",37079,19376
"Guilford, NC",37081,431224
"Halifax, NC",37083,56345
"Harnett, NC",37085,96526
"Haywood, NC",37087,54912
"Henderson, NC",37089,92328
"Hertford, NC",37091,23680
"Hoke, NC",37093,35785
"Hyde, NC",37095,5702
"Iredell, NC",37097,130315
"Jackson, NC",37099,34063
"Johnston, NC",37101,132422
"Jones, NC",37103,10172
"Lee, NC",37105,51724
"Lenoir, NC",37107,58526
"Lincoln, NC",37109,66046
"McDowell, NC",37111,42679
"Macon, NC",37113,30753
"Madison, NC",37115,19853
"Martin, NC",37117,24904
"Mecklenburg, NC",37119,737512
"Mitchell, NC",37121,15844
"Montgomery, NC",37123,27028
"Moore, NC",37125,77579
"Nash, NC",37127,88716
"New Hanover, NC",37129,167101
"Northampton, NC",37131,21636
"Onslow, NC",37133,153280
"Orange, NC",37135,116943
"Pamlico, NC",37137,12773
"Pasquotank, NC",37139,35516
"Pender, NC",37141,42565
"Perquimans, NC",37143,11470
"Person, NC",37145,36384
"Pitt, NC",37147,137693
"Polk, NC",37149,18642
"Randolph, NC",37151,133166
"Richmond, NC",37153,46501
"Robeson, NC",37155,123945
"Rockingham, NC",37157,92421
"Rowan, NC",37159,133347
"Rutherford, NC",37161,62969
"Sampson, NC",37163,61024
"Scotland, NC",37165,35527
"Stanly, NC",37167,58512
"Stokes, NC",37169,44827
"Surry, NC",37171,71900
"Swain, NC",37173,13017
"Transylvania, NC",37175,29378
"Tyrrell, NC",37177,4155
"Union, NC",37179,138218
"Vance, NC",37181,43537
"Wake, NC",37183,680443
"Warren, NC",37185,19832
"Washington, NC",37187,13366
"Watauga, NC",37189,43413
"Wayne, NC",37191,112804
"Wilkes, NC",37193,66518
"Wilson, NC",37195,74662
"Yadkin, NC",37197,37162
"Yancey, NC",37199,17845
NORTH DAKOTA,38000,633617
"Adams, ND",38001,2488
"Barnes, ND",38003,11220
"Benson, ND",38005,6798
"Billings, ND",38007,860
"Bottineau, ND",38009,6820
"Bowman, ND",38011,3052
"Burke, ND",38013,2103
"Burleigh, ND",38015,71021
"Cass, ND",38017,126054
"Cavalier, ND",38019,4543
"Dickey, ND",38021,5587
"Divide, ND",38023,2183
"Dunn, ND",38025,3498
"Eddy, ND",38027,2627
"Emmons, ND",38029,4064
"Foster, ND",38031,3560
"Golden Valley, ND",38033,1822
"Grand Forks, ND",38035,65292
"Grant, ND",38037,2709
"Griggs, ND",38039,2579
"Hettinger, ND",38041,2577
"Kidder, ND",38043,2541
"LaMoure, ND",38045,4533
"Logan, ND",38047,2185
"McHenry, ND",38049,5719
"McIntosh, ND",38051,3210
"McKenzie, ND",38053,5610
"McLean, ND",38055,8945
"Mercer, ND",38057,8424
"Morton, ND",38059,25063
"Mountrail, ND",38061,6475
"Nelson, ND",38063,3448
"Oliver, ND",38065,1921
"Pembina, ND",38067,8181
"Pierce, ND",38069,4495
"Ramsey, ND",38071,11782
"Ransom, ND",38073,5814
"Renville, ND",38075,2514
"Richland, ND",38077,17379
"Rolette, ND",38079,13682
"Sargent, ND",38081,4244
"Sheridan, ND",38083,1565
"Sioux, ND",38085,4052
"Slope, ND",38087,727
"Stark, ND",38089,22152
"Steele, ND",38091,2095
"Stutsman, ND",38093,21367
"Towner, ND",38095,2703
"Traill, ND",38097,8246
"Walsh, ND",38099,11778
"Ward, ND",38101,57128
"Wells, ND",38103,4766
"Williams, ND",38105,19416
OHIO,39000,11420981
"Adams, OH",39001,27705
"Allen, OH",39003,107845
"Ashland, OH",39005,53045
"Ashtabula, OH",39007,102609
"Athens, OH",39009,63055
"Auglaize, OH",39011,46391
"Belmont, OH",39013,69663
"Brown, OH",39015,43201
"Butler, OH",39017,338958
"Carroll, OH",39019,29100
"Champaign, OH",39021,39134
"Clark, OH",39023,143412
"Clermont, OH",39025,182539
"Clinton, OH",39027,41220
"Columbiana, OH",39029,111061
"Coshocton, OH",39031,36858
"Crawford, OH",39033,46173
"Cuyahoga, OH",39035,1369224
"Darke, OH",39037,52833
"Defiance, OH",39039,39124
"Delaware, OH",39041,127011
"Erie, OH",39043,78644
"Fairfield, OH",39045,128860
"Fayette, OH",39047,28152
"Franklin, OH",39049,1087369
"Fulton, OH",39051,42212
"Gallia, OH",39053,31074
"Geauga, OH",39055,93341
"Greene, OH",39057,151507
"Guernsey, OH",39059,40952
"Hamilton, OH",39061,848344
"Hancock, OH",39063,72528
"Hardin, OH",39065,31693
"Harrison, OH",39067,15775
"Henry, OH",39069,29238
"Highland, OH",39071,41537
"Hocking, OH",39073,28511
"Holmes, OH",39075,40331
"Huron, OH",39077,59884
"Jackson, OH",39079,32892
"Jefferson, OH",39081,71945
"Knox, OH",39083,56124
"Lake, OH",39085,230735
"Lawrence, OH",39087,61871
"Licking, OH",39089,148436
"Logan, OH",39091,46225
"Lorain, OH",39093,289327
"Lucas, OH",39095,460915
"Madison, OH",39097,40353
"Mahoning, OH",39099,252205
"Marion, OH",39101,65878
"Medina, OH",39103,157925
"Meigs, OH",39105,23103
"Mercer, OH",39107,40774
"Miami, OH",39109,99229
"Monroe, OH",39111,14845
"Montgomery, OH",39113,552367
"Morgan, OH",39115,14679
"Morrow, OH",39117,32868
"Muskingum, OH",39119,85064
"Noble, OH",39121,13955
"Ottawa, OH",39123,40917
"Paulding, OH",39125,19807
"Perry, OH",39127,34455
"Pickaway, OH",39129,51548
"Pike, OH",39131,27903
"Portage, OH",39133,153684
"Preble, OH",39135,42313
"Putnam, OH",39137,34615
"Richland, OH",39139,128068
"Ross, OH",39141,73895
"Sandusky, OH",39143,61695
"Scioto, OH",39145,77906
"Seneca, OH",39147,57934
"Shelby, OH",39149,48259
"Stark, OH",39151,378772
"Summit, OH",39153,545922
"Trumbull, OH",39155,222233
"Tuscarawas, OH",39157,91385
"Union, OH",39159,42899
"Van Wert, OH",39161,29251
"Vinton, OH",39163,13015
"Warren, OH",39165,173787
"Washington, OH",39167,62415
"Wayne, OH",39169,112576
"Williams, OH",39171,38919
"Wood, OH",39173,122208
"Wyandot, OH",39175,22772
OKLAHOMA,40000,3484754
"Adair, OK",40001,21179
"Alfalfa, OK",40003,5886
"Atoka, OK",40005,13987
"Beaver, OK",40007,5564
"Beckham, OK",40009,19849
"Blaine, OK",40011,11628
"Bryan, OK",40013,36768
"Caddo, OK",40015,29828
"Canadian, OK",40017,90699
"Carter, OK",40019,45887
"Cherokee, OK",40021,43518
"Choctaw, OK",40023,15248
"Cimarron, OK",40025,2974
"Cleveland, OK",40027,215733
"Coal, OK",40029,5931
"Comanche, OK",40031,112009
"Cotton, OK",40033,6375
"Craig, OK",40035,14742
"Creek, OK",40037,68346
"Custer, OK",40039,25195
"Delaware, OK",40041,37935
"Dewey, OK",40043,4513
"Ellis, OK",40045,3954
"Garfield, OK",40047,57115
"Garvin, OK",40049,27040
"Grady, OK",40051,46620
"Grant, OK",40053,4931
"Greer, OK",40055,5861
"Harmon, OK",40057,3050
"Harper, OK",40059,3414
"Haskell, OK",40061,11728
"Hughes, OK",40063,13934
"Jackson, OK",40065,27347
"Jefferson, OK",40067,6508
"Johnston, OK",40069,10386
"Kay, OK",40071,47529
"Kingfisher, OK",40073,13816
"Kiowa, OK",40075,9949
"Latimer, OK",40077,10577
"Le Flore, OK",40079,48337
"Lincoln, OK",40081,32090
"Logan, OK",40083,34703
"Love, OK",40085,8793
"McClain, OK",40087,28018
"McCurtain, OK",40089,33915
"McIntosh, OK",40091,19501
"Major, OK",40093,7474
"Marshall, OK",40095,13533
"Mayes, OK",40097,38476
"Murray, OK",40099,12581
"Muskogee, OK",40101,69508
"Noble, OK",40103,11266
"Nowata, OK",40105,10552
"Okfuskee, OK",40107,11569
"Oklahoma, OK",40109,672324
"Okmulgee, OK",40111,39515
"Osage, OK",40113,44877
"Ottawa, OK",40115,32625
"Pawnee, OK",40117,16732
"Payne, OK",40119,72926
"Pittsburg, OK",40121,43767
"Pontotoc, OK",40123,35010
"Pottawatomie, OK",40125,66614
"Pushmataha, OK",40127,11607
"Roger Mills, OK",40129,3195
"Rogers, OK",40131,74960
"Seminole, OK",40133,24193
"Sequoyah, OK",40135,39401
"Stephens, OK",40137,42460
"Texas, OK",40139,20014
"Tillman, OK",40141,8810
"Tulsa, OK",40143,570207
"Wagoner, OK",40145,60178
"Washington, OK",40147,48988
"Washita, OK",40149,11263
"Woods, OK",40151,8837
"Woodward, OK",40153,18382
OREGON,41000,3517111
"Baker, OR",41001,16351
"Benton, OR",41003,79622
"Clackamas, OR",41005,351647
"Clatsop, OR",41007,35606
"Columbia, OR",41009,45146
"Coos, OR",41011,62234
"Crook, OR",41013,20064
"Curry, OR",41015,21373
"Deschutes, OR",41017,125468
"Douglas, OR",41019,100579
"Gilliam, OR",41021,1827
"Grant, OR",41023,7327
"Harney, OR",41025,7231
"Hood River, OR",41027,20597
"Jackson, OR",41029,186567
"Jefferson, OR",41031,19560
"Josephine, OR",41033,77413
"Klamath, OR",41035,64097
"Lake, OR",41037,7321
"Lane, OR",41039,327394
"Lincoln, OR",41041,44341
"Linn, OR",41043,104645
"Malheur, OR",41045,31315
"Marion, OR",41047,293537
"Morrow, OR",41049,11413
"Multnomah, OR",41051,676417
"Polk, OR",41053,64765
"Sherman, OR",41055,1756
"Tillamook, OR",41057,24345
"Umatilla, OR",41059,71769
"Union, OR",41061,24470
"Wallowa, OR",41063,7018
"Wasco, OR",41065,23487
"Washington, OR",41067,471401
"Wheeler, OR",41069,1522
"Yamhill, OR",41071,87486
PENNSYLVANIA,42000,12326302
"Adams, PA",42001,94242
"Allegheny, PA",42003,1265422
"Armstrong, PA",42005,71455
"Beaver, PA",42007,178611
"Bedford, PA",42009,49763
"Berks, PA",42011,380629
"Blair, PA",42013,127346
"Bradford, PA",42015,62326
"Bucks, PA",42017,607465
"Butler, PA",42019,177504
"Cambria, PA",42021,149851
"Cameron, PA",42023,5804
"Carbon, PA",42025,59549
"Centre, PA",42027,139341
"Chester, PA",42029,448746
"Clarion, PA",42031,41068
"Clearfield, PA",42033,82960
"Clinton, PA",42035,37521
"Columbia, PA",42037,64354
"Crawford, PA",42039,89950
"Cumberland, PA",42041,217291
"Dauphin, PA",42043,252616
"Delaware, PA",42045,552588
"Elk, PA",42047,34362
"Erie, PA",42049,281920
"Fayette, PA",42051,146177
"Forest, PA",42053,4995
"Franklin, PA",42055,131257
"Fulton, PA",42057,14277
"Greene, PA",42059,40253
"Huntingdon, PA",42061,45633
"Indiana, PA",42063,88879
"Jefferson, PA",42065,45477
"Juniata, PA",42067,22817
"Lackawanna, PA",42069,210800
"Lancaster, PA",42071,478078
"Lawrence, PA",42073,93715
"Lebanon, PA",42075,121313
"Lehigh, PA",42077,316676
"Luzerne, PA",42079,313764
"Lycoming, PA",42081,118523
"McKean, PA",42083,45346
"Mercer, PA",42085,119310
"Mifflin, PA",42087,46416
"Monroe, PA",42089,148277
"Montgomery, PA",42091,763218
"Montour, PA",42093,18118
"Northampton, PA",42095,273141
"Northumberland, PA",42097,93063
"Perry, PA",42099,43804
"Philadelphia, PA",42101,1510550
"Pike, PA",42103,49712
"Potter, PA",42105,18118
"Schuylkill, PA",42107,148458
"Snyder, PA",42109,37795
"Somerset, PA",42111,79411
"Sullivan, PA",42113,6512
"Susquehanna, PA",42115,41744
"Tioga, PA",42117,41458
"Union, PA",42119,42037
"Venango, PA",42121,56623
"Warren, PA",42123,42966
"Washington, PA",42125,202968
"Wayne, PA",42127,48292
"Westmoreland, PA",42129,366836
"Wyoming, PA",42131,27926
"York, PA",42133,388885
RHODE ISLAND,44000,1066034
"Bristol, RI",44001,51076
"Kent, RI",44003,169826
"Newport, RI",44005,85509
"Providence, RI",44007,632849
"Washington, RI",44009,126774
SOUTH CAROLINA,45000,4103934
"Abbeville, SC",45001,26202
"Aiken, SC",45003,144706
"Allendale, SC",45005,11003
"Anderson, SC",45007,169920
"Bamberg, SC",45009,16266
"Barnwell, SC",45011,23199
"Beaufort, SC",45013,128547
"Berkeley, SC",45015,145904
"Calhoun, SC",45017,15139
"Charleston, SC",45019,320050
"Cherokee, SC",45021,53333
"Chester, SC",45023,33873
"Chesterfield, SC",45025,42990
"Clarendon, SC",45027,32694
"Colleton, SC",45029,38606
"Darlington, SC",45031,67697
"Dillon, SC",45033,30791
"Dorchester, SC",45035,100589
"Edgefield, SC",45037,24639
"Fairfield, SC",45039,23749
"Florence, SC",45041,127007
"Georgetown, SC",45043,57686
"Greenville, SC",45045,391087
"Greenwood, SC",45047,67055
"Hampton, SC",45049,21134
"Horry, SC",45051,206280
"Jasper, SC",45053,20873
"Kershaw, SC",45055,53470
"Lancaster, SC",45057,64857
"Laurens, SC",45059,69724
"Lee, SC",45061,20102
"Lexington, SC",45063,222218
"McCormick, SC",45065,10133
"Marion, SC",45067,34860
"Marlboro, SC",45069,28470
"Newberry, SC",45071,36592
"Oconee, SC",45073,67713
"Orangeburg, SC",45075,91138
"Pickens, SC",45077,111596
"Richland, SC",45079,329835
"Saluda, SC",45081,19043
"Spartanburg, SC",45083,259155
"Sumter, SC",45085,104901
"Union, SC",45087,29252
"Williamsburg, SC",45089,36127
"York, SC",45091,173729
SOUTH DAKOTA,46000,762107
"Aurora, SD",46003,2921
"Beadle, SD",46005,16522
"Bennett, SD",46007,3501
"Bon Homme, SD",46009,7093
"Brookings, SD",46011,28539
"Brown, SD",46013,34904
"Brule, SD",46015,5144
"Buffalo, SD",46017,2032
"Butte, SD",46019,8973
"Campbell, SD",46021,1704
"Charles Mix, SD",46023,9147
"Clark, SD",46025,3941
"Clay, SD",46027,13413
"Codington, SD",46029,25873
"Corson, SD",46031,4224
"Custer, SD",46033,7474
"Davison, SD",46035,18727
"Day, SD",46037,6023
"Deuel, SD",46039,4430
"Dewey, SD",46041,6030
"Douglas, SD",46043,3338
"Edmunds, SD",46045,4212
"Fall River, SD",46047,7262
"Faulk, SD",46049,2494
"Grant, SD",46051,7622
"Gregory, SD",46053,4482
"Haakon, SD",46055,2075
"Hamlin, SD",46057,5543
"Hand, SD",46059,3548
"Hanson, SD",46061,3335
"Harding, SD",46063,1283
"Hughes, SD",46065,16551
"Hutchinson, SD",46067,7774
"Hyde, SD",46069,1552
"Jackson, SD",46071,2799
"Jerauld, SD",46073,2199
"Jones, SD",46075,1124
"Kingsbury, SD",46077,5579
"Lake, SD",46079,11108
"Lawrence, SD",46081,21696
"Lincoln, SD",46083,27722
"Lyman, SD",46085,3899
"McCook, SD",46087,5787
"McPherson, SD",46089,2769
"Marshall, SD",46091,4341
"Meade, SD",46093,24404
"Mellette, SD",46095,2045
"Miner, SD",46097,2750
"Minnehaha, SD",46099,155817
"Moody, SD",46101,6504
"Pennington, SD",46103,90831
"Perkins, SD",46105,3242
"Potter, SD",46107,2499
"Roberts, SD",46109,9841
"Sanborn, SD",46111,2569
"Shannon, SD",46113,12982
"Spink, SD",46115,7090
"Stanley, SD",46117,2699
"Sully, SD",46119,1482
"Todd, SD",46121,9369
"Tripp, SD",46123,6234
"Turner, SD",46125,8569
"Union, SD",46127,12815
"Walworth, SD",46129,5662
"Yankton, SD",46135,21482
"Ziebach, SD",46137,2512
TENNESSEE,47000,5803306
"Anderson, TN",47001,71354
"Bedford, TN",47003,39185
"Benton, TN",47005,16479
"Bledsoe, TN",47007,12457
"Blount, TN",47009,109512
"Bradley, TN",47011,89557
"Campbell, TN",47013,39839
"Cannon, TN",47015,12961
"Carroll, TN",47017,29215
"Carter, TN",47019,56830
"Cheatham, TN",47021,36940
"Chester, TN",47023,15857
"Claiborne, TN",47025,30038
"Clay, TN",47027,7945
"Cocke, TN",47029,33982
"Coffee, TN",47031,49013
"Crockett, TN",47033,14462
"Cumberland, TN",47035,48597
"Davidson, TN",47037,581978
"Decatur, TN",47039,11604
"DeKalb, TN",47041,17734
"Dickson, TN",47043,44344
"Dyer, TN",47045,37068
"Fayette, TN",47047,31016
"Fentress, TN",47049,16818
"Franklin, TN",47051,39964
"Gibson, TN",47053,47908
"Giles, TN",47055,29365
"Grainger, TN",47057,21077
"Greene, TN",47059,63426
"Grundy, TN",47061,14256
"Hamblen, TN",47063,58395
"Hamilton, TN",47065,314524
"Hancock, TN",47067,6748
"Hardeman, TN",47069,28071
"Hardin, TN",47071,25811
"Hawkins, TN",47073,54505
"Haywood, TN",47075,19547
"Henderson, TN",47077,25767
"Henry, TN",47079,31258
"Hickman, TN",47081,23050
"Houston, TN",47083,7985
"Humphreys, TN",47085,17935
"Jackson, TN",47087,11092
"Jefferson, TN",47089,45737
"Johnson, TN",47091,17720
"Knox, TN",47093,392935
"Lake, TN",47095,7882
"Lauderdale, TN",47097,27075
"Lawrence, TN",47099,40492
"Lewis, TN",47101,11393
"Lincoln, TN",47103,31616
"Loudon, TN",47105,40741
"McMinn, TN",47107,50052
"McNairy, TN",47109,24581
"Macon, TN",47111,20771
"Madison, TN",47113,93483
"Marion, TN",47115,27806
"Marshall, TN",47117,27291
"Maury, TN",47119,71265
"Meigs, TN",47121,11249
"Monroe, TN",47123,40234
"Montgomery, TN",47125,136811
"Moore, TN",47127,5911
"Morgan, TN",47129,19994
"Obion, TN",47131,32229
"Overton, TN",47133,20210
"Perry, TN",47135,7543
"Pickett, TN",47137,5019
"Polk, TN",47139,16007
"Putnam, TN",47141,64205
"Rhea, TN",47143,28829
"Roane, TN",47145,52094
"Robertson, TN",47147,56954
"Rutherford, TN",47149,196074
"Scott, TN",47151,21532
"Sequatchie, TN",47153,11772
"Sevier, TN",47155,74398
"Shelby, TN",47157,902605
"Smith, TN",47159,18096
"Stewart, TN",47161,12679
"Sullivan, TN",47163,152605
"Sumner, TN",47165,136009
"Tipton, TN",47167,53064
"Trousdale, TN",47169,7287
"Unicoi, TN",47171,17612
"Union, TN",47173,18402
"Van Buren, TN",47175,5491
"Warren, TN",47177,38691
"Washington, TN",47179,109294
"Wayne, TN",47181,16965
"Weakley, TN",47183,34208
"White, TN",47185,23554
"Williamson, TN",47187,136335
"Wilson, TN",47189,93035
TEXAS,48000,21710788
"Anderson, TX",48001,54365
"Andrews, TX",48003,12887
"Angelina, TX",48005,80263
"Aransas, TX",48007,23007
"Archer, TX",48009,8882
"Armstrong, TX",48011,2071
"Atascosa, TX",48013,40823
"Austin, TX",48015,24580
"Bailey, TX",48017,6448
"Bandera, TX",48019,18731
"Bastrop, TX",48021,63774
"Baylor, TX",48023,3900
"Bee, TX",48025,31972
"Bell, TX",48027,248009
"Bexar, TX",48029,1439835
"Blanco, TX",48031,8702
"Borden, TX",48033,681
"Bosque, TX",48035,17416
"Bowie, TX",48037,89190
"Brazoria, TX",48039,255306
"Brazos, TX",48041,156870
"Brewster, TX",48043,9097
"Briscoe, TX",48045,1683
"Brooks, TX",48047,7675
"Brown, TX",48049,37813
"Burleson, TX",48051,16561
"Burnet, TX",48053,37305
"Caldwell, TX",48055,34692
"Calhoun, TX",48057,20381
"Callahan, TX",48059,12800
"Cameron, TX",48061,349544
"Camp, TX",48063,11647
"Carson, TX",48065,6488
"Cass, TX",48067,29868
"Castro, TX",48069,7897
"Chambers, TX",48071,26967
"Cherokee, TX",48073,46671
"Childress, TX",48075,7544
"Clay, TX",48077,11321
"Cochran, TX",48079,3487
"Coke, TX",48081,3757
"Coleman, TX",48083,8858
"Collin, TX",48085,568810
"Collingsworth, TX",48087,3101
"Colorado, TX",48089,20363
"Comal, TX",48091,84247
"Comanche, TX",48093,13498
"Concho, TX",48095,3818
"Cooke, TX",48097,37457
"Coryell, TX",48099,73341
"Cottle, TX",48101,1738
"Crane, TX",48103,3867
"Crockett, TX",48105,3858
"Crosby, TX",48107,6854
"Culberson, TX",48109,2812
"Dallam, TX",48111,6094
"Dallas, TX",48113,2280415
"Dawson, TX",48115,14411
"Deaf Smith, TX",48117,18259
"Delta, TX",48119,5432
"Denton, TX",48121,489526
"DeWitt, TX",48123,19977
"Dickens, TX",48125,2698
"Dimmit, TX",48127,10055
"Donley, TX",48129,3849
"Duval, TX",48131,12760
"Eastland, TX",48133,18178
"Ector, TX",48135,121768
"Edwards, TX",48137,2016
"Ellis, TX",48139,119498
"El Paso, TX",48141,688771
"Erath, TX",48143,33315
"Falls, TX",48145,17850
"Fannin, TX",48147,31588
"Fayette, TX",48149,22274
"Fisher, TX",48151,4202
"Floyd, TX",48153,7290
"Foard, TX",48155,1550
"Fort Bend, TX",48157,396554
"Franklin, TX",48159,9624
"Freestone, TX",48161,18314
"Frio, TX",48163,16294
"Gaines, TX",48165,14074
"Galveston, TX",48167,260102
"Garza, TX",48169,4982
"Gillespie, TX",48171,21543
"Glasscock, TX",48173,1332
"Goliad, TX",48175,7009
"Gonzales, TX",48177,18850
"Gray, TX",48179,21762
"Grayson, TX",48181,113256
"Gregg, TX",48183,112403
"Grimes, TX",48185,24634
"Guadalupe, TX",48187,94132
"Hale, TX",48189,35460
"Hall, TX",48191,3712
"Hamilton, TX",48193,7960
"Hansford, TX",48195,5195
"Hardeman, TX",48197,4496
"Hardin, TX",48199,48863
"Harris, TX",48201,3557879
"Harrison, TX",48203,62003
"Hartley, TX",48205,5095
"Haskell, TX",48207,5712
"Hays, TX",48209,111935
"Hemphill, TX",48211,3300
"Henderson, TX",48213,75046
"Hidalgo, TX",48215,607449
"Hill, TX",48217,33349
"Hockley, TX",48219,22575
"Hood, TX",48221,43635
"Hopkins, TX",48223,32266
"Houston, TX",48225,22980
"Howard, TX",48227,32970
"Hudspeth, TX",48229,3312
"Hunt, TX",48231,79774
"Hutchinson, TX",48233,23023
"Irion, TX",48235,1740
"Jack, TX",48237,8825
"Jackson, TX",48239,14229
"Jasper, TX",48241,35465
"Jeff Davis, TX",48243,2180
"Jefferson, TX",48245,248274
"Jim Hogg, TX",48247,5152
"Jim Wells, TX",48249,39939
"Johnson, TX",48251,134816
"Jones, TX",48253,19977
"Karnes, TX",48255,15229
"Kaufman, TX",48257,77743
"Kendall, TX",48259,25169
"Kenedy, TX",48261,420
"Kent, TX",48263,802
"Kerr, TX",48265,44654
"Kimble, TX",48267,4498
"King, TX",48269,309
"Kinney, TX",48271,3397
"Kleberg, TX",48273,31194
"Knox, TX",48275,3950
"Lamar, TX",48277,48752
"Lamb, TX",48279,14525
"Lampasas, TX",48281,18682
"La Salle, TX",48283,5828
"Lavaca, TX",48285,18930
"Lee, TX",48287,16135
"Leon, TX",48289,15755
"Liberty, TX",48291,73264
"Limestone, TX",48293,22273
"Lipscomb, TX",48295,2996
"Live Oak, TX",48297,11919
"Llano, TX",48299,17707
"Loving, TX",48301,66
"Lubbock, TX",48303,248910
"Lynn, TX",48305,6367
"McCulloch, TX",48307,7838
"McLennan, TX",48309,217272
"McMullen, TX",48311,827
"Madison, TX",48313,12741
"Marion, TX",48315,10933
"Martin, TX",48317,4635
"Mason, TX",48319,3742
"Matagorda, TX",48321,37795
"Maverick, TX",48323,48315
"Medina, TX",48325,40486
"Menard, TX",48327,2326
"Midland, TX",48329,116953
"Milam, TX",48331,24893
"Mills, TX",48333,5055
"Mitchell, TX",48335,9416
"Montague, TX",48337,19115
"Montgomery, TX",48339,326872
"Moore, TX",48341,19947
"Morris, TX",48343,13102
"Motley, TX",48345,1331
"Nacogdoches, TX",48347,59508
"Navarro, TX",48349,46631
"Newton, TX",48351,14773
"Nolan, TX",48353,15048
"Nueces, TX",48355,312891
"Ochiltree, TX",48357,9013
"Oldham, TX",48359,2127
"Orange, TX",48361,83882
"Palo Pinto, TX",48363,27056
"Panola, TX",48365,22845
"Parker, TX",48367,93961
"Parmer, TX",48369,9825
"Pecos, TX",48371,16284
"Polk, TX",48373,44136
"Potter, TX",48375,115809
"Presidio, TX",48377,7492
"Rains, TX",48379,10057
"Randall, TX",48381,105859
"Reagan, TX",48383,3116
"Real, TX",48385,2943
"Red River, TX",48387,13927
"Reeves, TX",48389,12415
"Refugio, TX",48391,7632
"Roberts, TX",48393,847
"Robertson, TX",48395,15840
"Rockwall, TX",48397,50819
"Runnels, TX",48399,10958
"Rusk, TX",48401,47406
"Sabine, TX",48403,10401
